source_root_id,target_root_id,predicted_score,rank
720575940611292622,720575940614140522,1.0,2
720575940639417728,720575940611123954,1.0,3
720575940639428174,720575940620842111,1.0,1
720575940625011600,720575940627281594,1.0,1
720575940627438076,720575940614671411,1.0,3
720575940632964423,720575940637899197,1.0,1
720575940639417728,720575940625019696,1.0,1
720575940611292622,720575940618364480,1.0,1
720575940624023188,720575940616262261,1.0,1
720575940611665358,720575940614737704,1.0,1
720575940627438076,720575940614165201,1.0,2
720575940627438076,720575940630535030,1.0,1
720575940639417728,720575940633094113,1.0,2
720575940630839371,720575940627728149,1.0,2
720575940630839371,720575940604009952,1.0,1
720575940620326253,720575940621818203,1.0,1
720575940627341736,720575940633614253,1.0,3
720575940627341736,720575940627683588,1.0,2
720575940627341736,720575940659098241,1.0,1
720575940615863638,720575940610739918,1.0,1
720575940630713029,720575940614714514,1.0,1
720575940612195737,720575940616481397,1.0,1
720575940609137500,720575940623329379,1.0,7
720575940609137500,720575940643197600,1.0,6
720575940609137500,720575940609423202,1.0,5
720575940609137500,720575940629952300,1.0,4
720575940609137500,720575940639483776,1.0,3
720575940609137500,720575940617562072,1.0,2
720575940609137500,720575940640591056,1.0,1
720575940612980990,720575940612264817,1.0,1
720575940610530606,720575940617613398,1.0,2
720575940610530606,720575940607982428,1.0,1
720575940605601214,720575940617302365,1.0,3
720575940605601214,720575940616290015,1.0,2
720575940605601214,720575940641562587,1.0,1
720575940631153194,720575940637602650,1.0,1
720575940624919881,720575940615358119,1.0,1
720575940632734033,720575940625449554,1.0,1
720575940619180923,720575940612732146,1.0,1
720575940642928328,720575940624705514,1.0,1
720575940611434419,720575940621551854,1.0,1
720575940630673572,720575940630431685,1.0,1
720575940627698057,720575940627253604,1.0,1
720575940628082053,720575940614748127,1.0,2
720575940628082053,720575940630416123,1.0,1
720575940628082053,720575940622615786,1.0,4
720575940628082053,720575940640891224,1.0,3
720575940639184035,720575940628592968,1.0,1
720575940621947302,720575940626452120,1.0,3
720575940621947302,720575940641535117,1.0,2
720575940621947302,720575940628613223,1.0,1
720575940619921488,720575940619144731,1.0,1
720575940639112765,720575940621319156,1.0,1
720575940621819227,720575940613934563,1.0,1
720575940612725466,720575940617422481,1.0,1
720575940631125036,720575940623203805,1.0,1
720575940625732227,720575940628419804,1.0,2
720575940625732227,720575940623378646,1.0,1
720575940624430572,720575940630436730,1.0,1
720575940632636959,720575940605494560,1.0,1
720575940618636086,720575940613019541,1.0,1
720575940619938031,720575940616486230,1.0,2
720575940619938031,720575940618157110,1.0,1
720575940631151943,720575940621044348,1.0,1
720575940629554988,720575940621116807,1.0,2
720575940629554988,720575940646814340,1.0,1
720575940611926195,720575940621545606,1.0,1
720575940614979634,720575940624280328,1.0,1
720575940614186449,720575940612692633,1.0,2
